Bin Start,Accumulated Count
8.46073868351522ms,998701
8.474316241240667ms,998705
8.487893798966113ms,998709
8.501471356691557ms,998714
8.515048914417001ms,998717
8.528626472142447ms,998719
8.542204029867893ms,998722
8.555781587593337ms,998724
8.569359145318781ms,998725
8.582936703044227ms,998728
8.596514260769673ms,998734
8.610091818495118ms,998736
8.623669376220562ms,998742
8.637246933946008ms,998743
8.650824491671454ms,998748
8.664402049396898ms,998749
8.677979607122344ms,998755
8.69155716484779ms,998758
8.705134722573234ms,998761
8.718712280298679ms,998761
8.732289838024125ms,998762
8.74586739574957ms,998765
8.759444953475015ms,998766
8.773022511200459ms,998766
8.786600068925905ms,998767
8.800177626651351ms,998769
8.813755184376795ms,998771
8.82733274210224ms,998773
8.840910299827685ms,998774
8.854487857553131ms,998776
8.868065415278576ms,998779
8.88164297300402ms,998782
8.895220530729466ms,998784
8.908798088454912ms,998786
8.922375646180356ms,998788
8.9359532039058ms,998793
8.949530761631246ms,998794
8.963108319356692ms,998796
8.976685877082136ms,998797
8.990263434807582ms,998800
9.003840992533028ms,998803
9.017418550258473ms,998805
9.030996107983917ms,998805
9.044573665709363ms,998806
9.058151223434809ms,998808
9.071728781160253ms,998809
9.085306338885697ms,998812
9.098883896611143ms,998812
9.11246145433659ms,998813
9.126039012062034ms,998813
9.139616569787478ms,998817
9.153194127512924ms,998817
9.16677168523837ms,998819
9.180349242963814ms,998820
9.193926800689258ms,998821
9.207504358414704ms,998821
9.22108191614015ms,998824
9.234659473865594ms,998825
9.248237031591039ms,998827
9.261814589316485ms,998830
9.27539214704193ms,998830
9.288969704767375ms,998830
9.30254726249282ms,998830
9.316124820218267ms,998830
9.329702377943711ms,998830
9.343279935669155ms,998830
9.356857493394601ms,998832
9.370435051120047ms,998832
9.384012608845492ms,998833
9.397590166570936ms,998837
9.411167724296382ms,998837
9.424745282021828ms,998837
9.438322839747272ms,998839
9.451900397472716ms,998841
9.465477955198162ms,998843
9.479055512923608ms,998844
9.492633070649052ms,998845
9.506210628374497ms,998846
9.519788186099943ms,998848
9.533365743825389ms,998851
9.546943301550833ms,998852
9.560520859276277ms,998852
9.574098417001723ms,998854
9.58767597472717ms,998855
9.601253532452613ms,998857
9.614831090178058ms,998858
9.628408647903504ms,998858
9.64198620562895ms,998860
9.655563763354394ms,998861
9.66914132107984ms,998862
9.682718878805286ms,998862
9.69629643653073ms,998862
9.709873994256174ms,998862
9.72345155198162ms,998862
9.737029109707066ms,998865
9.75060666743251ms,998865
9.764184225157955ms,998869
9.7777617828834ms,998870
9.791339340608847ms,998870
9.804916898334291ms,998872
9.818494456059735ms,998874
9.832072013785181ms,998875
9.845649571510627ms,998876
9.859227129236071ms,998878
9.872804686961516ms,998880
9.886382244686962ms,998884
9.899959802412408ms,998884
9.913537360137852ms,998884
9.927114917863296ms,998885
9.940692475588742ms,998886
9.954270033314188ms,998887
9.967847591039632ms,998888
9.981425148765078ms,998889
9.995002706490524ms,998889
10.008580264215968ms,998889
10.022157821941413ms,998890
10.035735379666859ms,998890
10.049312937392305ms,998890
10.062890495117749ms,998891
10.076468052843193ms,998892
10.09004561056864ms,998893
10.103623168294085ms,998893
10.11720072601953ms,998893
10.130778283744974ms,998894
10.14435584147042ms,998896
10.157933399195866ms,998896
10.17151095692131ms,998898
10.185088514646754ms,998899
10.1986660723722ms,998900
10.212243630097646ms,998901
10.22582118782309ms,998902
10.239398745548534ms,998902
10.25297630327398ms,998902
10.266553860999426ms,998904
10.28013141872487ms,998904
10.293708976450315ms,998905
10.307286534175761ms,998905
10.320864091901207ms,998906
10.334441649626651ms,998907
10.348019207352097ms,998907
10.361596765077543ms,998907
10.375174322802987ms,998909
10.388751880528432ms,998909
10.402329438253878ms,998909
10.415906995979324ms,998909
10.429484553704768ms,998909
10.443062111430212ms,998910
10.456639669155658ms,998911
10.470217226881104ms,998913
10.483794784606548ms,998913
10.497372342331992ms,998915
10.510949900057438ms,998915
10.524527457782884ms,998916
10.538105015508329ms,998918
10.551682573233773ms,998918
10.565260130959219ms,998918
10.578837688684665ms,998919
10.59241524641011ms,998919
10.605992804135553ms,998922
10.619570361861ms,998923
10.633147919586445ms,998924
10.64672547731189ms,998925
10.660303035037336ms,998926
10.673880592762782ms,998926
10.687458150488226ms,998927
10.70103570821367ms,998927
10.714613265939116ms,998927
10.728190823664562ms,998927
10.741768381390006ms,998927
10.75534593911545ms,998928
10.768923496840896ms,998928
10.782501054566342ms,998928
10.796078612291787ms,998929
10.809656170017231ms,998929
10.823233727742677ms,998930
10.836811285468123ms,998931
10.850388843193567ms,998931
10.863966400919011ms,998931
10.877543958644457ms,998931
10.891121516369903ms,998932
10.904699074095348ms,998932
10.918276631820792ms,998933
10.931854189546238ms,998933
10.945431747271684ms,998933
10.959009304997128ms,998934
10.972586862722574ms,998934
10.98616442044802ms,998935
10.999741978173464ms,998936
11.013319535898908ms,998936
11.026897093624354ms,998936
11.0404746513498ms,998936
11.054052209075245ms,998936
11.067629766800689ms,998936
11.081207324526135ms,998936
11.09478488225158ms,998936
11.108362439977025ms,998936
11.12193999770247ms,998936
11.135517555427915ms,998936
11.149095113153361ms,998936
11.162672670878806ms,998936
11.17625022860425ms,998936
11.189827786329696ms,998938
11.203405344055142ms,998938
11.216982901780586ms,998939
11.23056045950603ms,998939
11.244138017231476ms,998940
11.257715574956922ms,998940
11.271293132682366ms,998941
11.28487069040781ms,998941
11.298448248133257ms,998941
11.312025805858703ms,998942
11.325603363584147ms,998942
11.339180921309593ms,998942
11.352758479035039ms,998942
11.366336036760483ms,998943
11.379913594485927ms,998943
11.393491152211373ms,998943
11.40706870993682ms,998943
11.420646267662264ms,998943
11.434223825387708ms,998943
11.447801383113154ms,998943
11.4613789408386ms,998943
11.474956498564044ms,998943
11.488534056289488ms,998943
11.502111614014934ms,998943
11.51568917174038ms,998944
